# Znacznik czasu: 20210610-202905
# Źródło: /home/pi/Desktop/FloatingEdgeRegulator/adaptacyjny/regulator_adaptacyjny.py
# timestamp[s] frame# edge[1] xpos[px] xpos[mm] velocities[mm/sec] reg-output[1] 
1623349772.3472767 990 0 -9.0 -1.8305084745762712 [0, 0, 0, 0, -0.06942681369639446] 0 
1623349790.3655367 1675 0 -86.5 -17.593220338983052 [0, 0, 0, -0.06942681369639446, -0.8747921247985043] 240000 
1623349808.3789518 2257 0 -11.0 -2.2372881355932206 [0, 0, -0.06942681369639446, -0.8747921247985043, 0.8524797066041521] 138807 
1623349826.2910748 2924 0 -5.5 -1.1186440677966103 [0, -0.06942681369639446, -0.8747921247985043, 0.8524797066041521, 0.06245164704499407] 130196 
1623349844.2246163 3602 0 -4.5 -0.9152542372881356 [-0.06942681369639446, -0.8747921247985043, 0.8524797066041521, 0.06245164704499407, 0.01134113334044073] 129775 
1623349862.1987243 4264 0 -3.0 -0.6101694915254238 [-0.8747921247985043, 0.8524797066041521, 0.06245164704499407, 0.01134113334044073, 0.01697359713926956] 135259 
1623349880.1272862 4948 0 -2.5 -0.5084745762711864 [0.8524797066041521, 0.06245164704499407, 0.01134113334044073, 0.01697359713926956, 0.00567219940944504] 139817 
1623349898.0940413 5633 0 4.5 0.9152542372881356 [0.06245164704499407, 0.01134113334044073, 0.01697359713926956, 0.00567219940944504, 0.0792423482644472] 131595 
1623349916.0250876 6317 0 5.0 1.0169491525423728 [0.01134113334044073, 0.01697359713926956, 0.00567219940944504, 0.0792423482644472, 0.005671463384052563] 122477 
1623349934.0124917 6997 0 1.0 0.2033898305084746 [0.01697359713926956, 0.00567219940944504, 0.0792423482644472, 0.005671463384052563, -0.04522938556774341] 120648 
1623349951.9676886 7667 0 -6.0 -1.2203389830508475 [0.00567219940944504, 0.0792423482644472, 0.005671463384052563, -0.04522938556774341, -0.07929403590665816] 131604 
1623349953.529615 7725 0 inf [0.00567219940944504, 0.0792423482644472, 0.005671463384052563, -0.04522938556774341, -0.07929403590665816]
1623349970.0374997 8355 0 -79.5 -16.16949152542373 [0.0792423482644472, 0.005671463384052563, -0.04522938556774341, -0.07929403590665816, -0.8273072144373347] 261619 
1623349971.336986 8403 0 inf [0.0792423482644472, 0.005671463384052563, -0.04522938556774341, -0.07929403590665816, -0.8273072144373347]
1623349988.1052854 9039 0 -159.0 -32.33898305084746 [0.005671463384052563, -0.04522938556774341, -0.07929403590665816, -0.8273072144373347, -0.8949200518761296] 400000 
1623350006.149014 9722 0 20.5 4.169491525423729 [-0.04522938556774341, -0.07929403590665816, -0.8273072144373347, -0.8949200518761296, 2.0233574729974477] 102164 
1623350024.1725576 10406 0 14.5 2.9491525423728815 [-0.07929403590665816, -0.8273072144373347, -0.8949200518761296, 2.0233574729974477, -0.06770846424962235] 116075 
1623350042.1301825 11084 0 7.0 1.4237288135593222 [-0.8273072144373347, -0.8949200518761296, 2.0233574729974477, -0.06770846424962235, -0.08494423058238874] 112133 
1623350060.0924203 11766 0 -4.5 -0.9152542372881356 [-0.8949200518761296, 2.0233574729974477, -0.06770846424962235, -0.08494423058238874, -0.13021674983338913] 120353 
1623350078.0813236 12447 0 -11.0 -2.2372881355932206 [2.0233574729974477, -0.06770846424962235, -0.08494423058238874, -0.13021674983338913, -0.07349165846702925] 140476 
1623350096.0420675 13130 0 -4.5 -0.9152542372881356 [-0.06770846424962235, -0.08494423058238874, -0.13021674983338913, -0.07349165846702925, 0.0736081931328844] 113324 
1623350114.016566 13812 0 -14.0 -2.8474576271186445 [-0.08494423058238874, -0.13021674983338913, -0.07349165846702925, 0.0736081931328844, -0.10749669371288914] 119264 
1623350131.9839833 14495 0 -23.0 -4.677966101694915 [-0.13021674983338913, -0.07349165846702925, 0.0736081931328844, -0.10749669371288914, -0.10187782378265055] 173063 
1623350149.9429698 15176 0 7.0 1.4237288135593222 [-0.07349165846702925, 0.0736081931328844, -0.10749669371288914, -0.10187782378265055, 0.33975961432349094] 120737 
1623350167.9226484 15858 0 2.5 0.5084745762711864 [0.0736081931328844, -0.10749669371288914, -0.10187782378265055, 0.33975961432349094, -0.05090498623324744] 117647 
1623350185.888916 16539 0 -5.5 -1.1186440677966103 [-0.10749669371288914, -0.10187782378265055, 0.33975961432349094, -0.05090498623324744, -0.09056398886606556] 131617 
1623350188.903762 16653 0 inf [-0.10749669371288914, -0.10187782378265055, 0.33975961432349094, -0.05090498623324744, -0.09056398886606556]
1623350203.9412804 17221 0 171.0 34.779661016949156 [-0.10187782378265055, 0.33975961432349094, -0.05090498623324744, -0.09056398886606556, 1.9885922853446538] 0 
1623350221.996303 17905 0 99.0 20.135593220338983 [0.33975961432349094, -0.05090498623324744, -0.09056398886606556, 1.9885922853446538, -0.8110875814672938] 0 
1623350240.0727324 18590 0 19.5 3.9661016949152543 [-0.05090498623324744, -0.09056398886606556, 1.9885922853446538, -0.8110875814672938, -0.8944884649367718] 98437 
1623350258.0999813 19271 0 -7.0 -1.4237288135593222 [-0.09056398886606556, 1.9885922853446538, -0.8110875814672938, -0.8944884649367718, -0.29898550532007306] 139457 
1623350276.0707297 19954 0 -5.5 -1.1186440677966103 [1.9885922853446538, -0.8110875814672938, -0.8944884649367718, -0.29898550532007306, 0.016976806550039844] 138807 
1623350294.0689096 20628 0 -1.5 -0.3050847457627119 [-0.8110875814672938, -0.8944884649367718, -0.29898550532007306, 0.016976806550039844, 0.04520175931260763] 133619 
